N,P,K,temperatura,umidade,ph,precipitacao,indice_sucesso,tipo_temperatura,tipo_solo,solo_nutrientes,tipo_cultura,rotulo
108,72,46,"25,16","84,98","6,11","90,95","90,84",Moderado,Neutro,Alto,Fruta,Banana
105,88,54,"25,79","84,51","6,02","114,2","93,32",Moderado,Neutro,Alto,Fruta,Banana
98,79,50,"25,34","84,47","6,44","91,06","94,75",Moderado,Neutro,Alto,Fruta,Banana
111,88,55,"29,45","78,35","5,51","96,45","92,36",Moderado,Neutro,Alto,Fruta,Banana
97,74,45,"26,48","78,52","5,68","113,12","93,87",Moderado,Neutro,Alto,Fruta,Banana
95,82,48,"27,39","83,31","5,72","92,78","95,94",Moderado,Neutro,Alto,Fruta,Banana
89,91,55,"25,08","80,26","6,28","94,33","91,6",Moderado,Neutro,Alto,Fruta,Banana
89,85,55,"26,67","76,49","6,28","91,73","92,59",Moderado,Neutro,Alto,Fruta,Banana
118,88,51,"25,45","79,49","6,2","100,66","93,53",Moderado,Neutro,Alto,Fruta,Banana
101,92,45,"28,23","80,64","5,76","98,0","94,53",Moderado,Neutro,Alto,Fruta,Banana
99,92,47,"28,13","77,48","6,32","103,5","95,51",Moderado,Neutro,Alto,Fruta,Banana
82,77,46,"28,95","82,19","5,9","95,83","91,86",Moderado,Neutro,Alto,Fruta,Banana
90,86,55,"27,96","84,15","5,64","97,56","93,57",Moderado,Neutro,Alto,Fruta,Banana
95,88,52,"28,0","78,9","6,24","94,68","95,0",Moderado,Neutro,Alto,Fruta,Banana
104,73,46,"29,14","80,12","6,28","90,45","92,81",Moderado,Neutro,Alto,Fruta,Banana
102,73,52,"27,91","83,36","6,36","90,24","93,99",Moderado,Neutro,Alto,Fruta,Banana
100,74,52,"25,43","81,54","5,84","96,48","94,96",Moderado,Neutro,Alto,Fruta,Banana
94,89,48,"28,56","84,52","5,65","111,08","94,25",Moderado,Neutro,Alto,Fruta,Banana
99,70,46,"26,6","83,0","5,73","100,51","94,33",Moderado,Neutro,Alto,Fruta,Banana
112,87,48,"27,2","77,4","6,2","99,47","94,8",Moderado,Neutro,Alto,Fruta,Banana
117,82,45,"25,29","79,29","5,61","105,42","93,91",Moderado,Neutro,Alto,Fruta,Banana
96,86,51,"29,91","76,99","6,26","92,0","93,92",Moderado,Neutro,Alto,Fruta,Banana
113,85,45,"27,95","76,64","6,04","109,09","93,76",Moderado,Neutro,Alto,Fruta,Banana
105,93,46,"25,01","78,76","5,76","108,37","93,26",Moderado,Neutro,Alto,Fruta,Banana
85,89,51,"29,21","84,7","6,16","108,55","93,09",Moderado,Neutro,Alto,Fruta,Banana
108,94,47,"27,36","84,55","6,39","90,81","92,17",Moderado,Neutro,Alto,Fruta,Banana
92,81,52,"28,01","76,53","5,89","103,7","96,45",Moderado,Neutro,Alto,Fruta,Banana
110,71,54,"28,67","82,21","5,73","94,38","92,02",Moderado,Neutro,Alto,Fruta,Banana
82,75,55,"27,35","78,49","6,28","92,16","91,51",Moderado,Neutro,Alto,Fruta,Banana
117,81,53,"29,51","78,21","5,51","98,13","93,24",Moderado,Neutro,Alto,Fruta,Banana
2,40,27,"29,74","47,55","5,95","90,1","73,05",Moderado,Neutro,Alto,Fruta,Manga
39,24,31,"33,56","53,73","4,76","98,68","78,59",Quente,Ácido,Alto,Fruta,Manga
21,26,27,"27,0","47,68","5,7","95,85","93,61",Moderado,Neutro,Alto,Fruta,Manga
25,22,25,"33,56","45,54","5,98","95,71","87,02",Quente,Neutro,Alto,Fruta,Manga
0,21,32,"35,9","54,26","6,43","92,2","74,08",Quente,Neutro,Alto,Fruta,Manga
20,19,35,"34,18","50,62","6,11","98,01","89,77",Quente,Neutro,Alto,Fruta,Manga
19,21,34,"30,02","53,19","5,07","97,73","90,87",Quente,Ácido,Alto,Fruta,Manga
18,17,31,"31,75","45,16","5,67","93,75","89,32",Quente,Neutro,Alto,Fruta,Manga
11,36,33,"35,99","52,23","5,98","95,37","81,98",Quente,Neutro,Alto,Fruta,Manga
30,28,30,"31,87","52,19","5,06","98,47","89,51",Quente,Ácido,Alto,Fruta,Manga
18,19,27,"27,76","52,35","4,77","94,11","88,96",Moderado,Ácido,Alto,Fruta,Manga
23,23,27,"34,72","51,43","5,16","97,31","90,62",Quente,Ácido,Alto,Fruta,Manga
37,30,34,"27,54","53,64","6,8","99,35","78,0",Moderado,Neutro,Alto,Fruta,Manga
11,27,30,"27,7","48,56","6,39","89,86","89,06",Moderado,Neutro,Alto,Fruta,Manga
12,19,31,"27,25","52,66","5,57","91,87","84,24",Moderado,Neutro,Alto,Fruta,Manga
3,28,33,"30,34","48,89","5,76","94,43","82,67",Quente,Neutro,Alto,Fruta,Manga
37,38,32,"31,86","45,53","5,42","91,56","75,71",Quente,Ácido,Alto,Fruta,Manga
26,37,30,"35,4","49,46","6,17","97,41","86,06",Quente,Neutro,Alto,Fruta,Manga
14,18,30,"29,81","52,14","5,19","95,75","87,7",Moderado,Ácido,Alto,Fruta,Manga
40,16,35,"34,16","54,16","4,95","98,33","70,22",Quente,Ácido,Alto,Fruta,Manga
4,20,25,"28,93","47,94","5,66","99,98","76,63",Moderado,Neutro,Alto,Fruta,Manga
36,25,33,"27,98","53,33","5,55","99,61","80,08",Moderado,Neutro,Alto,Fruta,Manga
30,17,31,"31,2","54,5","6,8","94,63","83,45",Quente,Neutro,Alto,Fruta,Manga
28,37,28,"32,13","50,53","6,1","98,63","85,02",Quente,Neutro,Alto,Fruta,Manga
38,15,30,"28,92","48,14","5,08","97,01","75,3",Moderado,Ácido,Alto,Fruta,Manga
12,37,30,"31,1","47,41","4,55","90,29","85,48",Quente,Ácido,Alto,Fruta,Manga
38,19,31,"34,74","49,09","5,86","90,65","76,54",Quente,Neutro,Alto,Fruta,Manga
8,33,29,"29,98","49,49","6,44","91,82","84,51",Moderado,Neutro,Alto,Fruta,Manga
15,27,28,"33,8","46,13","4,51","90,83","91,21",Quente,Ácido,Alto,Fruta,Manga
34,16,25,"30,07","50,96","6,11","92,1","77,5",Quente,Neutro,Alto,Fruta,Manga
11,36,31,"27,92","51,78","6,48","100,26","83,18",Moderado,Neutro,Alto,Fruta,Manga
33,29,34,"31,41","49,22","6,83","93,0","85,15",Quente,Neutro,Alto,Fruta,Manga
12,31,26,"35,79","51,94","5,4","100,22","84,76",Quente,Ácido,Alto,Fruta,Manga
12,34,28,"33,36","45,02","6,14","98,82","84,47",Quente,Neutro,Alto,Fruta,Manga
5,16,31,"35,96","48,7","4,56","98,01","76,42",Quente,Ácido,Alto,Fruta,Manga
1,30,29,"28,33","51,4","6,43","91,67","79,44",Moderado,Neutro,Alto,Fruta,Manga
16,35,31,"32,28","50,19","5,32","95,99","90,41",Quente,Ácido,Alto,Fruta,Manga
35,18,26,"31,99","50,85","5,28","97,39","78,67",Quente,Ácido,Alto,Fruta,Manga
4,40,26,"27,58","48,57","6,72","95,84","73,95",Moderado,Neutro,Alto,Fruta,Manga
9,29,34,"29,38","45,89","5,73","100,81","83,95",Moderado,Neutro,Alto,Fruta,Manga
2,38,33,"32,39","53,23","4,69","90,22","74,2",Quente,Ácido,Alto,Fruta,Manga
26,32,32,"30,91","49,93","6,81","90,14","89,92",Quente,Neutro,Alto,Fruta,Manga
34,38,31,"35,38","45,58","6,45","97,42","76,97",Quente,Neutro,Alto,Fruta,Manga
5,32,33,"32,32","52,59","5,84","93,37","81,18",Quente,Neutro,Alto,Fruta,Manga
31,29,26,"28,22","47,41","5,02","97,77","84,58",Moderado,Ácido,Alto,Fruta,Manga
34,34,35,"27,27","47,17","6,42","95,26","78,23",Moderado,Neutro,Alto,Fruta,Manga
36,19,32,"27,11","50,71","4,94","92,37","77,81",Moderado,Ácido,Alto,Fruta,Manga
7,17,26,"34,89","48,76","6,41","91,63","77,75",Quente,Neutro,Alto,Fruta,Manga
38,15,27,"33,75","48,5","6,78","92,26","73,68",Quente,Neutro,Alto,Fruta,Manga
5,19,25,"27,35","54,44","6,44","96,28","75,97",Moderado,Neutro,Alto,Fruta,Manga
37,36,26,"32,89","52,61","4,65","94,49","76,6",Quente,Ácido,Alto,Fruta,Manga
21,31,32,"35,39","51,43","5,25","90,3","92,3",Quente,Ácido,Alto,Fruta,Manga
37,36,27,"27,55","47,91","5,91","90,4","75,45",Moderado,Neutro,Alto,Fruta,Manga
23,23,30,"32,82","47,46","4,76","90,89","92,53",Quente,Ácido,Alto,Fruta,Manga
36,26,26,"30,17","51,08","6,81","95,23","82,91",Quente,Neutro,Alto,Fruta,Manga
24,33,35,"29,26","54,82","5,34","100,76","86,68",Moderado,Ácido,Alto,Fruta,Manga
26,18,30,"32,06","51,08","6,34","96,6","88,31",Quente,Neutro,Alto,Fruta,Manga
22,17,26,"28,7","47,72","4,75","99,64","86,95",Moderado,Ácido,Alto,Fruta,Manga
11,34,32,"29,14","49,41","6,83","97,55","85,27",Moderado,Neutro,Alto,Fruta,Manga
29,35,28,"28,35","53,54","6,97","90,4","83,31",Moderado,Neutro,Alto,Fruta,Manga
22,28,26,"27,67","45,42","4,95","92,85","91,92",Moderado,Ácido,Alto,Fruta,Manga
23,24,32,"28,12","46,17","5,63","93,3","91,24",Moderado,Neutro,Alto,Fruta,Manga
1,35,34,"30,79","46,7","6,27","92,21","75,28",Quente,Neutro,Alto,Fruta,Manga
2,24,34,"28,89","54,81","6,47","94,76","77,98",Moderado,Neutro,Alto,Fruta,Manga
39,37,25,"33,33","45,61","6,95","98,29","72,24",Quente,Neutro,Alto,Fruta,Manga
15,36,27,"27,79","53,97","5,64","91,01","85,01",Moderado,Neutro,Alto,Fruta,Manga
3,18,31,"31,65","48,21","6,39","91,1","78,08",Quente,Neutro,Alto,Fruta,Manga
8,38,32,"29,75","46,74","4,98","91,41","79,69",Moderado,Ácido,Alto,Fruta,Manga
33,31,34,"31,33","50,22","5,42","89,78","83,69",Quente,Ácido,Alto,Fruta,Manga
14,29,32,"35,64","48,97","6,94","97,52","89,43",Quente,Neutro,Alto,Fruta,Manga
18,20,26,"31,67","51,99","5,44","89,98","90,01",Quente,Ácido,Alto,Fruta,Manga
9,21,32,"32,27","53,56","5,87","95,94","83,94",Quente,Neutro,Alto,Fruta,Manga
20,30,27,"27,81","51,59","4,75","95,9","94,08",Moderado,Ácido,Alto,Fruta,Manga
9,38,25,"34,59","50,34","5,5","100,31","78,58",Quente,Neutro,Alto,Fruta,Manga
26,24,34,"31,27","52,24","6,81","89,74","89,25",Quente,Neutro,Alto,Fruta,Manga
31,36,29,"33,94","52,72","6,46","97,46","82,21",Quente,Neutro,Alto,Fruta,Manga
14,18,35,"31,09","47,02","4,79","91,47","84,83",Quente,Ácido,Alto,Fruta,Manga
40,16,35,"31,89","49,02","6,48","89,59","72,12",Quente,Neutro,Alto,Fruta,Manga
28,27,34,"32,45","50,7","6,53","95,05","90,13",Quente,Neutro,Alto,Fruta,Manga
0,17,30,"35,47","47,97","6,28","97,79","73,5",Quente,Neutro,Alto,Fruta,Manga
1,29,29,"27,33","49,3","6,05","93,53","79,97",Moderado,Neutro,Alto,Fruta,Manga
2,36,31,"30,9","49,96","5,73","91,78","78,24",Quente,Neutro,Alto,Fruta,Manga
12,27,26,"29,09","45,57","5,32","96,24","88,08",Moderado,Ácido,Alto,Fruta,Manga
7,28,35,"30,02","46,78","4,67","96,64","83,72",Quente,Ácido,Alto,Fruta,Manga
0,36,26,"34,13","51,26","5,1","96,39","73,52",Quente,Ácido,Alto,Fruta,Manga
26,35,31,"33,45","53,06","5,34","98,05","86,93",Quente,Ácido,Alto,Fruta,Manga
27,21,30,"35,39","52,49","5,06","91,23","86,79",Quente,Ácido,Alto,Fruta,Manga
22,38,31,"31,53","53,06","5,82","98,57","89,34",Quente,Neutro,Alto,Fruta,Manga
22,18,31,"30,76","47,94","5,96","90,39","90,43",Quente,Neutro,Alto,Fruta,Manga
28,23,28,"30,02","50,1","5,68","96,09","88,88",Quente,Neutro,Alto,Fruta,Manga
7,31,27,"31,33","47,59","6,52","94,67","84,25",Quente,Neutro,Alto,Fruta,Manga
29,34,26,"33,88","54,39","6,27","89,29","82,43",Quente,Neutro,Alto,Fruta,Manga
8,37,33,"28,08","54,96","6,13","97,45","78,49",Moderado,Neutro,Alto,Fruta,Manga
39,16,27,"35,54","52,95","4,93","91,55","72,0",Quente,Ácido,Alto,Fruta,Manga
40,24,25,"28,71","50,44","5,45","95,89","77,12",Moderado,Ácido,Alto,Fruta,Manga
19,38,26,"31,48","48,78","4,53","93,17","89,42",Quente,Ácido,Alto,Fruta,Manga
21,21,30,"27,7","51,42","5,4","100,77","92,03",Moderado,Ácido,Alto,Fruta,Manga
22,18,33,"30,41","52,48","6,62","93,92","89,72",Quente,Neutro,Alto,Fruta,Manga
31,20,30,"32,18","54,01","6,21","91,89","84,18",Quente,Neutro,Alto,Fruta,Manga
18,26,31,"32,61","47,75","5,42","91,1","94,77",Quente,Ácido,Alto,Fruta,Manga
24,130,195,"30,0","81,54","6,11","67,13","93,71",Moderado,Neutro,Alto,Fruta,Uvas
13,144,204,"30,73","82,43","6,09","68,38","85,7",Quente,Neutro,Alto,Fruta,Uvas
22,123,205,"32,45","83,89","5,9","68,74","90,92",Quente,Neutro,Alto,Fruta,Uvas
36,125,196,"37,47","80,66","6,16","66,84","79,06",Quente,Neutro,Alto,Fruta,Uvas
24,131,196,"22,03","83,74","5,73","65,34","96,2",Moderado,Neutro,Alto,Fruta,Uvas
2,123,198,"39,65","82,21","6,25","70,4","72,1",Quente,Neutro,Alto,Fruta,Uvas
35,140,197,"16,78","82,75","6,11","66,76","84,5",Moderado,Neutro,Alto,Fruta,Uvas
11,122,195,"12,14","83,57","5,65","69,63","80,96",Frio,Neutro,Alto,Fruta,Uvas
6,123,203,"12,76","81,62","6,13","66,78","77,73",Frio,Neutro,Alto,Fruta,Uvas
17,134,204,"39,04","80,18","6,5","73,88","83,07",Quente,Neutro,Alto,Fruta,Uvas
25,130,197,"39,71","82,69","5,55","74,92","85,59",Quente,Neutro,Alto,Fruta,Uvas
27,145,205,"9,47","82,29","5,8","66,03","84,29",Frio,Neutro,Alto,Fruta,Uvas
9,122,201,"29,59","80,92","5,57","68,06","83,83",Moderado,Neutro,Alto,Fruta,Uvas
16,139,203,"17,83","80,96","6,28","65,85","88,49",Moderado,Neutro,Alto,Fruta,Uvas
32,141,204,"8,83","82,9","5,54","67,24","81,0",Frio,Neutro,Alto,Fruta,Uvas
22,138,195,"27,83","83,51","6,21","73,03","94,11",Moderado,Neutro,Alto,Fruta,Uvas
31,144,202,"11,02","80,56","5,87","68,24","83,22",Frio,Neutro,Alto,Fruta,Uvas
3,136,205,"17,59","80,85","6,33","71,41","79,63",Moderado,Neutro,Alto,Fruta,Uvas
28,122,197,"19,89","82,73","5,86","69,66","92,0",Moderado,Neutro,Alto,Fruta,Uvas
4,136,204,"29,94","81,78","5,9","65,52","80,19",Moderado,Neutro,Alto,Fruta,Uvas
39,145,201,"36,73","80,59","5,78","72,24","77,09",Quente,Neutro,Alto,Fruta,Uvas
38,132,197,"20,42","81,54","5,93","66,93","85,91",Moderado,Neutro,Alto,Fruta,Uvas
36,133,198,"25,52","83,98","6,23","69,17","88,85",Moderado,Neutro,Alto,Fruta,Uvas
25,121,201,"30,51","82,72","5,59","70,08","92,23",Quente,Neutro,Alto,Fruta,Uvas
15,125,199,"18,43","80,56","5,57","69,76","88,99",Moderado,Neutro,Alto,Fruta,Uvas
24,140,205,"12,09","83,59","5,93","68,67","89,27",Frio,Neutro,Alto,Fruta,Uvas
13,132,203,"23,6","82,48","6,42","73,24","91,21",Moderado,Neutro,Alto,Fruta,Uvas
5,126,197,"12,8","81,21","6,42","67,1","77,39",Frio,Neutro,Alto,Fruta,Uvas
30,120,200,"38,06","82,25","6,23","65,7","82,57",Quente,Neutro,Alto,Fruta,Uvas
23,142,197,"39,07","82,04","6,0","69,31","87,68",Quente,Neutro,Alto,Fruta,Uvas
26,135,203,"33,78","81,16","5,69","74,54","89,16",Quente,Neutro,Alto,Fruta,Uvas
7,126,203,"16,76","82,0","5,66","73,29","81,44",Moderado,Neutro,Alto,Fruta,Uvas
32,139,198,"35,89","82,67","6,36","66,54","83,36",Quente,Neutro,Alto,Fruta,Uvas
9,141,202,"21,01","81,18","6,12","66,38","85,68",Moderado,Neutro,Alto,Fruta,Uvas
20,142,196,"10,9","80,02","6,21","68,69","86,53",Frio,Neutro,Alto,Fruta,Uvas
32,129,201,"16,36","83,0","6,49","71,56","87,21",Moderado,Neutro,Alto,Fruta,Uvas
3,134,199,"20,28","81,32","5,82","71,07","82,26",Moderado,Neutro,Alto,Fruta,Uvas
38,138,204,"25,11","83,25","6,33","73,01","86,36",Moderado,Neutro,Alto,Fruta,Uvas
14,131,198,"33,46","83,87","5,56","67,92","85,5",Quente,Neutro,Alto,Fruta,Uvas
20,122,204,"11,8","80,86","6,49","65,07","86,35",Frio,Neutro,Alto,Fruta,Uvas
40,126,201,"11,36","80,03","6,12","71,18","77,53",Frio,Neutro,Alto,Fruta,Uvas
36,128,204,"25,24","80,69","5,7","67,04","88,06",Moderado,Neutro,Alto,Fruta,Uvas
11,132,197,"15,99","81,24","5,73","74,4","84,15",Moderado,Neutro,Alto,Fruta,Uvas
0,137,195,"22,44","80,19","6,33","65,4","80,01",Moderado,Neutro,Alto,Fruta,Uvas
19,123,200,"34,76","81,04","6,17","65,7","87,06",Quente,Neutro,Alto,Fruta,Uvas
31,136,197,"31,11","83,34","5,65","71,43","87,87",Quente,Neutro,Alto,Fruta,Uvas
4,134,200,"28,58","80,96","5,84","73,34","81,63",Moderado,Neutro,Alto,Fruta,Uvas
39,139,201,"41,19","81,02","5,54","68,69","75,23",Quente,Neutro,Alto,Fruta,Uvas
8,127,196,"27,03","83,17","5,83","70,96","85,24",Moderado,Neutro,Alto,Fruta,Uvas
39,138,203,"21,19","82,33","6,4","74,63","84,54",Moderado,Neutro,Alto,Fruta,Uvas
32,120,204,"10,38","83,45","6,14","67,39","81,49",Frio,Neutro,Alto,Fruta,Uvas
12,142,203,"31,31","82,56","5,97","65,01","84,08",Quente,Neutro,Alto,Fruta,Uvas
8,133,195,"20,47","80,98","6,46","71,3","85,65",Moderado,Neutro,Alto,Fruta,Uvas
8,139,199,"29,37","81,54","6,34","66,13","83,42",Moderado,Neutro,Alto,Fruta,Uvas
21,134,202,"10,72","80,02","6,43","65,3","87,5",Frio,Neutro,Alto,Fruta,Uvas
40,140,195,"14,98","80,5","6,29","71,63","79,58",Frio,Neutro,Alto,Fruta,Uvas
39,127,202,"15,32","81,67","6,48","71,6","81,29",Moderado,Neutro,Alto,Fruta,Uvas
19,120,195,"18,74","81,12","5,93","73,56","90,32",Moderado,Neutro,Alto,Fruta,Uvas
21,139,201,"19,36","83,36","5,98","67,15","93,52",Moderado,Neutro,Alto,Fruta,Uvas
17,136,195,"41,21","81,61","6,39","65,9","81,62",Quente,Neutro,Alto,Fruta,Uvas
33,139,203,"33,34","82,51","5,69","70,68","84,87",Quente,Neutro,Alto,Fruta,Uvas
22,133,201,"23,82","80,12","6,0","67,27","98,08",Moderado,Neutro,Alto,Fruta,Uvas
32,130,196,"40,66","81,25","6,37","74,03","80,07",Quente,Neutro,Alto,Fruta,Uvas
37,135,205,"11,83","80,28","5,51","74,1","79,55",Frio,Neutro,Alto,Fruta,Uvas
15,140,195,"13,29","83,54","5,7","65,8","84,12",Frio,Neutro,Alto,Fruta,Uvas
39,132,196,"35,83","83,33","5,78","73,68","78,57",Quente,Neutro,Alto,Fruta,Uvas
40,121,199,"26,18","81,04","6,32","66,06","83,72",Moderado,Neutro,Alto,Fruta,Uvas
40,132,202,"24,58","80,71","5,97","69,71","86,91",Moderado,Neutro,Alto,Fruta,Uvas
29,142,203,"29,67","83,71","5,89","66,48","89,19",Moderado,Neutro,Alto,Fruta,Uvas
32,121,199,"39,37","81,25","6,13","74,08","80,07",Quente,Neutro,Alto,Fruta,Uvas
6,140,205,"17,67","82,93","6,31","69,87","81,71",Moderado,Neutro,Alto,Fruta,Uvas
8,120,196,"24,07","82,66","6,05","69,82","86,8",Moderado,Neutro,Alto,Fruta,Uvas
34,133,202,"15,31","80,1","5,8","74,82","84,43",Moderado,Neutro,Alto,Fruta,Uvas
35,135,199,"21,77","80,55","6,4","69,4","89,32",Moderado,Neutro,Alto,Fruta,Uvas
16,145,199,"26,92","80,77","5,95","69,31","90,73",Moderado,Neutro,Alto,Fruta,Uvas
8,136,201,"41,66","82,22","5,61","74,2","74,96",Quente,Neutro,Alto,Fruta,Uvas
25,129,195,"17,99","81,18","5,78","72,37","92,93",Moderado,Neutro,Alto,Fruta,Uvas
16,130,201,"29,12","82,79","5,68","68,85","90,39",Moderado,Neutro,Alto,Fruta,Uvas
39,129,203,"34,39","83,18","5,86","71,03","79,97",Quente,Neutro,Alto,Fruta,Uvas
38,135,203,"41,36","82,8","6,44","69,92","76,29",Quente,Neutro,Alto,Fruta,Uvas
33,120,205,"35,12","82,27","5,55","69,72","82,97",Quente,Neutro,Alto,Fruta,Uvas
35,125,204,"19,65","80,15","6,11","73,7","85,97",Moderado,Neutro,Alto,Fruta,Uvas
1,132,200,"16,28","82,94","5,62","66,57","77,74",Moderado,Neutro,Alto,Fruta,Uvas
39,140,203,"21,12","80,63","6,35","69,28","85,2",Moderado,Neutro,Alto,Fruta,Uvas
28,145,202,"19,21","82,9","6,48","66,83","90,69",Moderado,Neutro,Alto,Fruta,Uvas
6,128,200,"25,96","82,58","5,84","70,32","85,28",Moderado,Neutro,Alto,Fruta,Uvas
6,139,199,"25,67","81,62","6,29","74,11","84,34",Moderado,Neutro,Alto,Fruta,Uvas
29,122,196,"41,95","81,16","5,64","73,07","80,53",Quente,Neutro,Alto,Fruta,Uvas
37,144,197,"11,19","80,81","6,42","66,34","78,51",Frio,Neutro,Alto,Fruta,Uvas
38,120,197,"17,54","82,95","6,32","73,77","81,89",Moderado,Neutro,Alto,Fruta,Uvas
38,141,198,"13,06","80,28","5,76","70,76","79,96",Frio,Neutro,Alto,Fruta,Uvas
14,121,203,"9,72","83,75","6,16","74,46","80,29",Frio,Neutro,Alto,Fruta,Uvas
6,125,204,"27,92","82,93","5,73","69,92","83,24",Moderado,Neutro,Alto,Fruta,Uvas
32,138,197,"9,54","80,73","5,91","69,44","82,44",Frio,Neutro,Alto,Fruta,Uvas
11,124,204,"13,43","80,07","6,36","71,4","81,77",Frio,Neutro,Alto,Fruta,Uvas
23,138,200,"9,85","80,23","5,97","68,43","88,77",Frio,Neutro,Alto,Fruta,Uvas
40,143,201,"24,97","82,73","6,48","66,7","84,86",Moderado,Neutro,Alto,Fruta,Uvas
6,142,202,"27,24","82,95","6,22","70,43","83,52",Moderado,Neutro,Alto,Fruta,Uvas
37,124,195,"18,71","83,48","6,21","66,6","83,93",Moderado,Neutro,Alto,Fruta,Uvas
35,134,204,"9,95","82,55","5,84","66,01","80,28",Frio,Neutro,Alto,Fruta,Uvas
119,25,51,"26,47","80,92","6,28","53,66","86,27",Moderado,Neutro,Alto,Fruta,Melancia
119,19,55,"25,19","83,45","6,82","46,87","91,29",Moderado,Neutro,Alto,Fruta,Melancia
105,30,50,"25,3","81,78","6,38","57,04","83,34",Moderado,Neutro,Alto,Fruta,Melancia
114,8,50,"24,75","88,31","6,58","57,96","85,14",Moderado,Neutro,Alto,Fruta,Melancia
93,22,52,"26,59","81,33","6,93","41,88","89,11",Moderado,Neutro,Alto,Fruta,Melancia
80,26,55,"24,53","88,99","6,14","49,12","84,35",Moderado,Neutro,Alto,Fruta,Melancia
85,27,45,"26,07","88,73","6,47","57,8","82,73",Moderado,Neutro,Alto,Fruta,Melancia
85,22,53,"25,97","89,77","6,85","59,46","87,76",Moderado,Neutro,Alto,Fruta,Melancia
82,22,45,"26,22","85,35","6,51","54,6","88,75",Moderado,Neutro,Alto,Fruta,Melancia
118,13,54,"24,41","89,82","6,04","44,08","87,83",Moderado,Neutro,Alto,Fruta,Melancia
83,25,53,"26,49","80,05","6,06","57,73","84,62",Moderado,Neutro,Alto,Fruta,Melancia
86,15,47,"24,04","84,18","6,42","53,79","92,53",Moderado,Neutro,Alto,Fruta,Melancia
101,10,47,"25,54","83,32","6,94","57,57","89,18",Moderado,Neutro,Alto,Fruta,Melancia
119,9,50,"26,75","83,92","6,25","40,79","84,52",Moderado,Neutro,Alto,Fruta,Melancia
104,17,46,"25,71","80,23","6,19","43,09","94,26",Moderado,Neutro,Alto,Fruta,Melancia
95,12,51,"25,76","84,17","6,68","44,22","91,64",Moderado,Neutro,Alto,Fruta,Melancia
102,14,52,"26,79","89,65","6,51","57,74","92,09",Moderado,Neutro,Alto,Fruta,Melancia
109,21,55,"24,9","89,74","6,77","57,45","89,35",Moderado,Neutro,Alto,Fruta,Melancia
81,18,50,"26,81","88,23","6,43","58,8","91,83",Moderado,Neutro,Alto,Fruta,Melancia
103,17,51,"25,11","80,03","6,21","44,21","95,67",Moderado,Neutro,Alto,Fruta,Melancia
105,14,50,"26,21","87,69","6,42","59,66","92,24",Moderado,Neutro,Alto,Fruta,Melancia
97,8,52,"24,91","86,97","6,24","49,49","88,96",Moderado,Neutro,Alto,Fruta,Melancia
120,19,49,"25,79","84,27","6,76","56,45","92,02",Moderado,Neutro,Alto,Fruta,Melancia
95,16,55,"25,27","87,55","6,61","40,13","92,52",Moderado,Neutro,Alto,Fruta,Melancia
83,29,52,"25,76","87,59","6,7","46,05","82,75",Moderado,Neutro,Alto,Fruta,Melancia
83,9,45,"25,85","89,13","6,05","46,85","85,43",Moderado,Neutro,Alto,Fruta,Melancia
91,21,50,"24,34","81,44","6,76","48,32","92,24",Moderado,Neutro,Alto,Fruta,Melancia
116,5,54,"25,38","80,99","6,65","57,23","81,13",Moderado,Neutro,Alto,Fruta,Melancia
112,28,54,"24,86","85,05","6,74","55,3","83,87",Moderado,Neutro,Alto,Fruta,Melancia
88,29,51,"24,72","88,95","6,1","48,46","83,99",Moderado,Neutro,Alto,Fruta,Melancia
118,15,45,"24,21","84,21","6,54","48,01","91,2",Moderado,Neutro,Alto,Fruta,Melancia
92,21,48,"25,82","82,04","6,38","54,83","92,01",Moderado,Neutro,Alto,Fruta,Melancia
106,14,45,"24,47","84,16","6,42","57,27","91,17",Moderado,Neutro,Alto,Fruta,Melancia
99,5,47,"24,13","84,84","6,65","51,19","85,95",Moderado,Neutro,Alto,Fruta,Melancia
98,8,51,"26,18","86,52","6,26","49,43","89,59",Moderado,Neutro,Alto,Fruta,Melancia
108,22,46,"26,18","86,73","6,12","53,33","90,73",Moderado,Neutro,Alto,Fruta,Melancia
119,7,55,"26,04","84,64","6,03","44,4","82,84",Moderado,Neutro,Alto,Fruta,Melancia
117,27,48,"26,53","82,39","6,84","54,31","84,2",Moderado,Neutro,Alto,Fruta,Melancia
109,10,53,"26,82","87,83","6,55","46,06","87,74",Moderado,Neutro,Alto,Fruta,Melancia
80,16,46,"25,5","81,4","6,94","48,48","92,81",Moderado,Neutro,Alto,Fruta,Melancia
100,18,52,"26,2","80,38","6,88","56,48","95,13",Moderado,Neutro,Alto,Fruta,Melancia
91,7,53,"25,14","89,28","6,46","43,53","84,38",Moderado,Neutro,Alto,Fruta,Melancia
86,6,53,"25,92","83,47","6,92","42,11","82,65",Moderado,Neutro,Alto,Fruta,Melancia
107,5,52,"26,66","89,98","6,88","57,41","82,56",Moderado,Neutro,Alto,Fruta,Melancia
103,16,49,"24,07","81,64","6,92","51,75","96,02",Moderado,Neutro,Alto,Fruta,Melancia
101,20,48,"24,68","82,75","6,21","57,06","92,93",Moderado,Neutro,Alto,Fruta,Melancia
85,25,47,"26,11","87,64","6,3","58,48","85,32",Moderado,Neutro,Alto,Fruta,Melancia
